.	Image file path	
1.552	Pixel size	
cw	Rotation direction	
0	U offset	
0	V offset	
1500	SO	
1500	SD	
		
Proj_00000.tif	181.79	0
Proj_00001.tif	181.2	0
Proj_00002.tif	180.62	0
Proj_00003.tif	180.04	0
Proj_00004.tif	179.5	0
Proj_00005.tif	178.96	0
Proj_00006.tif	178.39	0
Proj_00007.tif	177.79	0
Proj_00008.tif	177.22	0
Proj_00009.tif	176.68	0
Proj_00010.tif	176.12	0
Proj_00011.tif	175.54	0
Proj_00012.tif	174.98	0
Proj_00013.tif	174.42	0
Proj_00014.tif	173.87	0
Proj_00015.tif	173.3	0
Proj_00016.tif	172.73	0
Proj_00017.tif	172.18	0
Proj_00018.tif	171.61	0
Proj_00019.tif	171.03	0
Proj_00020.tif	170.49	0
Proj_00021.tif	169.93	0
Proj_00022.tif	169.37	0
Proj_00023.tif	168.79	0
Proj_00024.tif	168.22	0
Proj_00025.tif	167.67	0
Proj_00026.tif	167.1	0
Proj_00027.tif	166.52	0
Proj_00028.tif	165.96	0
Proj_00029.tif	165.4	0
Proj_00030.tif	164.83	0
Proj_00031.tif	164.26	0
Proj_00032.tif	163.7	0
Proj_00033.tif	163.13	0
Proj_00034.tif	162.57	0
Proj_00035.tif	162	0
Proj_00036.tif	161.44	0
Proj_00037.tif	160.9	0
Proj_00038.tif	160.32	0
Proj_00039.tif	159.76	0
Proj_00040.tif	159.2	0
Proj_00041.tif	158.63	0
Proj_00042.tif	158.07	0
Proj_00043.tif	157.5	0
Proj_00044.tif	156.93	0
Proj_00045.tif	156.38	0
Proj_00046.tif	155.81	0
Proj_00047.tif	155.23	0
Proj_00048.tif	154.69	0
Proj_00049.tif	154.12	0
Proj_00050.tif	153.56	0
Proj_00051.tif	152.99	0
Proj_00052.tif	152.43	0
Proj_00053.tif	151.88	0
Proj_00054.tif	151.3	0
Proj_00055.tif	150.73	0
Proj_00056.tif	150.18	0
Proj_00057.tif	149.61	0
Proj_00058.tif	149.04	0
Proj_00059.tif	148.48	0
Proj_00060.tif	147.92	0
Proj_00061.tif	147.37	0
Proj_00062.tif	146.8	0
Proj_00063.tif	146.22	0
Proj_00064.tif	145.67	0
Proj_00065.tif	145.1	0
Proj_00066.tif	144.52	0
Proj_00067.tif	143.96	0
Proj_00068.tif	143.4	0
Proj_00069.tif	142.84	0
Proj_00070.tif	142.27	0
Proj_00071.tif	141.7	0
Proj_00072.tif	141.14	0
Proj_00073.tif	140.58	0
Proj_00074.tif	140	0
Proj_00075.tif	139.44	0
Proj_00076.tif	138.89	0
Proj_00077.tif	138.33	0
Proj_00078.tif	137.76	0
Proj_00079.tif	137.19	0
Proj_00080.tif	136.63	0
Proj_00081.tif	136.07	0
Proj_00082.tif	135.5	0
Proj_00083.tif	134.93	0
Proj_00084.tif	134.38	0
Proj_00085.tif	133.8	0
Proj_00086.tif	133.23	0
Proj_00087.tif	132.68	0
Proj_00088.tif	132.12	0
Proj_00089.tif	131.56	0
Proj_00090.tif	130.98	0
Proj_00091.tif	130.42	0
Proj_00092.tif	129.87	0
Proj_00093.tif	129.29	0
Proj_00094.tif	128.72	0
Proj_00095.tif	128.16	0
Proj_00096.tif	127.6	0
Proj_00097.tif	127.03	0
Proj_00098.tif	126.46	0
Proj_00099.tif	125.9	0
Proj_00100.tif	125.34	0
Proj_00101.tif	124.77	0
Proj_00102.tif	124.19	0
Proj_00103.tif	123.63	0
Proj_00104.tif	123.07	0
Proj_00105.tif	122.49	0
Proj_00106.tif	121.91	0
Proj_00107.tif	121.36	0
Proj_00108.tif	120.79	0
Proj_00109.tif	120.21	0
Proj_00110.tif	119.64	0
Proj_00111.tif	119.09	0
Proj_00112.tif	118.52	0
Proj_00113.tif	117.94	0
Proj_00114.tif	117.38	0
Proj_00115.tif	116.83	0
Proj_00116.tif	116.28	0
Proj_00117.tif	115.7	0
Proj_00118.tif	115.13	0
Proj_00119.tif	114.57	0
Proj_00120.tif	114.01	0
Proj_00121.tif	113.44	0
Proj_00122.tif	112.88	0
Proj_00123.tif	112.32	0
Proj_00124.tif	111.76	0
Proj_00125.tif	111.18	0
Proj_00126.tif	110.61	0
Proj_00127.tif	110.07	0
Proj_00128.tif	109.5	0
